SiteID;SiteName;SiteCode;FullSiteCode;Elevation;State;County;Comments;Discharge.start;Discharge.end;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;Water_Level.start;Water_Level.end;Elevation_dem;Longitude;Latitude
14;Tremeacque ponte destro;A102;OD:A102;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1990;2012;6.042686462402344;12.5686;45.828399999999995
15;Tramonti di sopra;A201;OD:A201;NA;NA;FVG;NA;NA;NA;1921;2005;1936;2005;NA;NA;NA;NA;438.9981689453125;12.7889;46.3098
16;Tramonti di sotto scuole nuove;A202;OD:A202;NA;NA;FVG;NA;NA;NA;2002;2012;2000;2011;NA;NA;NA;NA;392.0475769042969;12.793099999999999;46.2982
17;Malga rest;A204;OD:A204;NA;NA;FVG;NA;NA;NA;2009;2011;2009;2011;NA;NA;NA;NA;1515.8638916015625;12.7989;46.347899999999996
18;Ca' zul;A220;OD:A220;NA;NA;FVG;NA;NA;NA;1970;2012;1973;2011;NA;NA;NA;NA;795.5721435546875;12.7162;46.292199999999994
19;Ca' selva;A221;OD:A221;NA;NA;FVG;NA;NA;NA;1970;2012;1974;2011;NA;NA;NA;NA;627.71441650390625;12.700800000000001;46.258500000000005
20;Chievolis;A223;OD:A223;NA;NA;FVG;NA;NA;NA;1921;2012;NA;NA;NA;NA;NA;NA;437.4690246582031;12.733100000000002;46.2539
21;Campone;A224;OD:A224;NA;NA;FVG;NA;NA;NA;1917;2012;NA;NA;NA;NA;NA;NA;630.60858154296875;12.8313;46.2595
22;Malga valine alta;A226;OD:A226;NA;NA;FVG;NA;NA;NA;2009;2011;2009;2011;NA;NA;NA;NA;1304.3956298828125;12.675100000000002;46.236
23;Ponte racli;A240;OD:A240;NA;NA;FVG;NA;NA;NA;1970;2012;1974;2011;NA;NA;NA;NA;358.5740661621094;12.7499;46.241199999999985
24;Preplans;A241;OD:A241;NA;NA;FVG;NA;NA;NA;2002;2012;2000;2011;NA;NA;NA;NA;317.1380920410156;12.772999999999998;46.21789999999999
25;Borgo cilia;A242;OD:A242;NA;NA;FVG;NA;NA;NA;1990;2012;2000;2011;NA;NA;NA;NA;620.50677490234375;12.795;46.22589999999999
26;Valdestali;A243;OD:A243;NA;NA;FVG;NA;NA;NA;1990;1994;NA;NA;NA;NA;NA;NA;461.7435302734375;12.757200000000001;46.20750000000001
27;Poffabro;A244;OD:A244;NA;NA;FVG;NA;NA;NA;1915;2012;NA;NA;NA;NA;NA;NA;613.80633544921875;12.709500000000002;46.21649999999999
28;Cavasso nuovo;A260;OD:A260;NA;NA;FVG;NA;NA;NA;1917;1998;NA;NA;NA;NA;NA;NA;350.1836242675781;12.774699999999998;46.20280000000001
29;Maniago ponte ss. 464;A261;OD:A261;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;286.688720703125;12.718799999999998;46.17389999999999
30;Fratta vivaio forestale;A262;OD:A262;NA;NA;FVG;NA;NA;NA;1916;2012;1936;2012;NA;NA;NA;NA;271.9602966308594;12.726999999999999;46.1785
31;Colle ponte ss 464;A263;OD:A263;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003;2011;239.62319946289062;12.815099999999997;46.163599999999995
32;Colle;A264;OD:A264;NA;NA;FVG;NA;NA;NA;1958;2000;NA;NA;NA;NA;NA;NA;219.0072784423828;12.803400000000002;46.1688
33;Arba;A280;OD:A280;NA;NA;FVG;NA;NA;NA;1990;2012;2006;2011;NA;NA;NA;NA;200.73069763183594;12.804299999999998;46.143499999999996
34;Tesis;A281;OD:A281;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005;2012;176.2062225341797;12.788899999999998;46.12510000000001
35;Ponte meduna;A300;OD:A300;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1929;2012;19.6729736328125;12.699299999999997;45.946
36;Pordenone localita' torre;A301;OD:A301;NA;NA;FVG;NA;NA;NA;1917;1998;NA;NA;NA;NA;NA;NA;29.147491455078125;12.672699999999999;45.9682
37;Pordenone sede c.b.c.m.;A302;OD:A302;NA;NA;FVG;NA;NA;NA;1958;2011;NA;NA;NA;NA;NA;NA;25.985637664794922;12.6579;45.9635
38;Pordenone campo atletica;A303;OD:A303;NA;NA;FVG;NA;NA;NA;2003;2012;NA;NA;NA;NA;NA;NA;30.16668701171875;12.649799999999999;45.95879999999999
39;Pordenone ponte via santissima;A304;OD:A304;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1990;2012;19.363529205322266;12.659;45.95179999999999
40;Prata di sopra;A320;OD:A320;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1991;2012;12;12.602500000000001;45.903299999999994
41;Visinale di sopra;A321;OD:A321;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1990;2012;12.54174518585205;12.614399999999998;45.902899999999995
42;Visinale ponte ferro;A322;OD:A322;NA;NA;FVG;NA;NA;NA;1990;1994;NA;NA;NA;NA;NA;NA;12;12.604999999999999;45.8978
43;Prata di pordenone;A323;OD:A323;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005;2012;12;12.6035;45.8985
44;Tremeacque ponte sinistro;A324;OD:A324;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002;2012;5.312811851501465;12.5702;45.8283
45;Porcia rondover;A325;OD:A325;NA;NA;FVG;NA;NA;NA;2010;2012;NA;NA;NA;NA;NA;NA;15.506112098693848;12.6141;45.92209999999999
46;Cimolais canonica;A400;OD:A400;NA;NA;FVG;NA;NA;NA;1922;2011;NA;NA;NA;NA;NA;NA;723.02154541015625;12.4383;46.28799999999999
47;Cimolais ponte ss. 251;A401;OD:A401;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;691.68994140625;12.440799999999998;46.285699999999984
48;Claut;A402;OD:A402;NA;NA;FVG;NA;NA;NA;1915;1996;NA;NA;NA;NA;NA;NA;693.368408203125;12.5147;46.267500000000005
49;Lesis;A403;OD:A403;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;733.9136962890625;12.5445;46.27210000000001
50;Baldass;A409;OD:A409;NA;NA;FVG;NA;NA;NA;2009;2012;NA;NA;NA;NA;NA;NA;1708.3070068359375;12.573199999999998;46.24249999999999
51;Casera podestine;A410;OD:A410;NA;NA;FVG;NA;NA;NA;2009;2012;NA;NA;NA;NA;NA;NA;1178.322509765625;12.6014;46.297299999999986
52;Casera pradut;A411;OD:A411;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1268.81591796875;12.5643;46.25619999999999
53;Val settimana briglia;A413;OD:A413;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2009;2011;723.87506103515625;12.5001;46.28269999999999
54;Forcella savalons;A414;OD:A414;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1731.8448486328125;12.4868;46.34980000000001
55;Rifugio pordenone;A415;OD:A415;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1263.885986328125;12.4893;46.3788
56;Rifugio pussa;A416;OD:A416;NA;NA;FVG;NA;NA;NA;2010;2012;NA;NA;NA;NA;NA;NA;1187.0257568359375;12.589999999999998;46.34499999999999
57;Claut tre pini;A417;OD:A417;NA;NA;FVG;NA;NA;NA;2010;2012;NA;NA;NA;NA;NA;NA;614.1451416015625;12.500299999999998;46.26350000000001
58;Cellino di sopra;A418;OD:A418;NA;NA;FVG;NA;NA;NA;2010;2012;NA;NA;NA;NA;NA;NA;575.11737060546875;12.4714;46.246500000000005
59;Prescudin villa emma;A422;OD:A422;NA;NA;FVG;NA;NA;NA;1969;2011;NA;NA;NA;NA;NA;NA;774.3319091796875;12.489199999999999;46.192699999999995
60;Arcola ponte per prescudin;A424;OD:A424;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2009;2012;641.88128662109375;12.515599999999997;46.2026
61;Casa fasolera;A425;OD:A425;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2009;2012;583.3326416015625;12.542299999999997;46.19440000000001
63;Piancavallo pista di fondo;A440;OD:A440;NA;NA;FVG;NA;NA;NA;1990;2012;NA;NA;NA;NA;NA;NA;1317.1888427734375;12.521700000000001;46.11330000000001
64;Barcis ponte antoi;A461;OD:A461;NA;NA;FVG;NA;NA;NA;1924;2010;NA;NA;NA;NA;NA;NA;470.39703369140625;12.5749;46.1881
65;Barcis bordo lago;A462;OD:A462;NA;NA;FVG;NA;NA;NA;1990;1993;NA;NA;NA;NA;NA;NA;448.18267822265625;12.5599;46.1897
66;Barcis stazione forestale;A463;OD:A463;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;448.18267822265625;12.5637;46.1929
67;Andreis piazzola campeggio;A464;OD:A464;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;462.1297912597656;12.612;46.198899999999995
68;Pala barzana;A467;OD:A467;NA;NA;FVG;NA;NA;NA;1990;2012;NA;NA;NA;NA;NA;NA;905.75079345703125;12.6592;46.1959
69;Diga cellina;A468;OD:A468;NA;NA;FVG;NA;NA;NA;1917;2010;NA;NA;NA;NA;NA;NA;559.82720947265625;12.597200000000003;46.1879
70;Ravedis invaso;A469;OD:A469;NA;NA;FVG;NA;NA;NA;2008;2012;NA;NA;NA;NA;NA;NA;462.9981689453125;12.6566;46.171899999999994
71;Vajont argine cellina;A470;OD:A470;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010;2012;280.7554016113281;12.681499999999996;46.14779999999998
72;Prapiero ponte svincolo gallerie;A471;OD:A471;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010;2012;464.6763916015625;12.6039;46.19530000000001
73;Val pentina casa bimbo;A472;OD:A472;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010;2012;521.10186767578125;12.536899999999997;46.1874
74;San leonardo valcellina partidor;A480;OD:A480;NA;NA;FVG;NA;NA;NA;1958;2012;NA;NA;NA;NA;NA;NA;199.0238494873047;12.7058;46.098299999999995
75;La crosetta;A600;OD:A600;NA;NA;FVG;NA;NA;NA;1970;2011;NA;NA;NA;NA;NA;NA;1093.4517822265625;12.4052;46.03530000000001
76;Val sughet;A601;OD:A601;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1719.158935546875;12.504100000000001;46.11930000000001
77;Candaglia;A603;OD:A603;NA;NA;FVG;NA;NA;NA;2010;2011;NA;NA;NA;NA;NA;NA;1127.9398193359375;12.442799999999998;46.0641
78;Luogo di giulio;A610;OD:A610;NA;NA;FVG;NA;NA;NA;1990;1992;NA;NA;NA;NA;NA;NA;265.6770935058594;12.711700000000002;46.13960000000001
79;San quirino la roiata;A620;OD:A620;NA;NA;FVG;NA;NA;NA;1917;1999;NA;NA;NA;NA;NA;NA;97.66266632080078;12.6398;46.01659999999999
80;San quirino officina c.b.c.m.;A621;OD:A621;NA;NA;FVG;NA;NA;NA;2004;2011;NA;NA;NA;NA;NA;NA;122.39817810058594;12.6312;46.03179999999999
81;San martino di campagna;A622;OD:A622;NA;NA;FVG;NA;NA;NA;1990;2011;NA;NA;NA;NA;NA;NA;183.31297302246094;12.6441;46.0785
82;Rauscedo stazione di pompaggio c.b.c.m.;A623;OD:A623;NA;NA;FVG;NA;NA;NA;1958;2011;NA;NA;NA;NA;NA;NA;104.90544128417969;12.8244;46.0657
83;Basaldella di vivaro;A624;OD:A624;NA;NA;FVG;NA;NA;NA;1917;2012;NA;NA;NA;NA;NA;NA;141.309814453125;12.7906;46.08819999999999
84;San leonardo valcellina;A625;OD:A625;NA;NA;FVG;NA;NA;NA;1987;2003;NA;NA;NA;NA;NA;NA;213.10296630859375;12.6824;46.098200000000006
85;Villa rinaldi;A626;OD:A626;NA;NA;FVG;NA;NA;NA;2007;2011;NA;NA;NA;NA;NA;NA;95.75718688964844;12.7074;46.0295
86;Cordenons acquedotto san giovanni;A627;OD:A627;NA;NA;FVG;NA;NA;NA;2009;2012;NA;NA;NA;NA;NA;NA;69.83683776855469;12.7004;46.0092
87;Forcate ex acquedotto;A640;OD:A640;NA;NA;FVG;NA;NA;NA;1991;2012;NA;NA;NA;NA;NA;NA;72.82865905761719;12.588600000000001;45.9986
88;Colesit;A641;OD:A641;NA;NA;FVG;NA;NA;NA;1958;2002;NA;NA;NA;NA;NA;NA;61.68111801147461;12.5548;46.012399999999985
89;Villadolt;A642;OD:A642;NA;NA;FVG;NA;NA;NA;2002;2010;NA;NA;NA;NA;NA;NA;48.569671630859375;12.568299999999999;45.9792
90;Vigonovo;A643;OD:A643;NA;NA;FVG;NA;NA;NA;2010;2012;NA;NA;NA;NA;NA;NA;38.288414001464844;12.5452;45.9859
91;Erto;B001;OD:B001;NA;NA;FVG;NA;NA;NA;1921;2012;NA;NA;NA;NA;NA;NA;790.40875244140625;12.3707;46.277800000000006
92;Rifugio maniago;B004;OD:B004;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1655.6766357421875;12.3937;46.320699999999995
93;Mauria;C001;OD:C001;NA;NA;FVG;NA;NA;NA;1990;2006;NA;NA;NA;NA;NA;NA;1124.2220458984375;12.539;46.444700000000005
94;Forni di sopra;C003;OD:C003;NA;NA;FVG;NA;NA;NA;1917;2012;NA;NA;NA;NA;NA;NA;1010.0648803710938;12.5832;46.4236
95;Andrazza;C006;OD:C006;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;887.3804931640625;12.5876;46.4047
96;Varmost plan dai pos;C009;OD:C009;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1901.107666015625;12.5596;46.454600000000006
97;Passo della morte stavolo mezzan;C022;OD:C022;NA;NA;FVG;NA;NA;NA;2003;2012;NA;NA;NA;NA;NA;NA;735.39501953125;12.715100000000001;46.3928
98;Caprizi;C023;OD:C023;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005;2012;625.71466064453125;12.779199999999998;46.37319999999999
99;Malga cjampiuz;C032;OD:C032;NA;NA;FVG;NA;NA;NA;2007;2011;NA;NA;NA;NA;NA;NA;1633.0521240234375;12.679;46.35119999999999
100;Invillino madonna del ponte;C050;OD:C050;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1929;2012;424.45892333984375;12.9296;46.403800000000004
101;Tolmezzo ponte avons;C051;OD:C051;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;2012;306.72265625;13.0129;46.39019999999999
102;Sella chianzutan;C052;OD:C052;NA;NA;FVG;NA;NA;NA;1974;2012;NA;NA;NA;NA;NA;NA;1055.0140380859375;12.940299999999999;46.3589
103;Sauris di sopra;C100;OD:C100;NA;NA;FVG;NA;NA;NA;2003;2012;NA;NA;NA;NA;NA;NA;1359.5302734375;12.6819;46.4673
104;Sauris di sotto;C101;OD:C101;NA;NA;FVG;NA;NA;NA;1917;2012;NA;NA;NA;NA;NA;NA;1193.1715087890625;12.708099999999998;46.46559999999999
105;La maina;C102;OD:C102;NA;NA;FVG;NA;NA;NA;1943;2012;NA;NA;NA;NA;NA;NA;1106.9898681640625;12.7331;46.45089999999998
106;Casera chiansaveit;C103;OD:C103;NA;NA;FVG;NA;NA;NA;2008;2011;NA;NA;NA;NA;NA;NA;1928.746337890625;12.626400000000002;46.45190000000001
107;Casera pieltinis;C104;OD:C104;NA;NA;FVG;NA;NA;NA;2008;2011;NA;NA;NA;NA;NA;NA;1712.8677978515625;12.722999999999999;46.48449999999999
108;Ampezzo;C120;OD:C120;NA;NA;FVG;NA;NA;NA;1915;2012;NA;NA;NA;NA;NA;NA;547.313720703125;12.798799999999998;46.4148
109;Forni avoltri;C150;OD:C150;NA;NA;FVG;NA;NA;NA;1917;2012;NA;NA;NA;NA;NA;NA;1011.9490966796875;12.773799999999998;46.58679999999999
110;Collina;C151;OD:C151;NA;NA;FVG;NA;NA;NA;1920;2012;NA;NA;NA;NA;NA;NA;1334.96533203125;12.839;46.5856
111;Prato carnico ponte r. agazzo;C152;OD:C152;NA;NA;FVG;NA;NA;NA;1999;2012;NA;NA;NA;NA;NA;NA;801.20916748046875;12.8113;46.51990000000001
112;Prato carnico ponte t. pesarina;C153;OD:C153;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;787.8465576171875;12.8056;46.51879999999999
113;Pesariis;C154;OD:C154;NA;NA;FVG;NA;NA;NA;1917;2012;NA;NA;NA;NA;NA;NA;876.10784912109375;12.775699999999999;46.52179999999999
114;Comeglians;C155;OD:C155;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;640.62152099609375;12.864499999999998;46.50569999999999
115;Ravascletto;C156;OD:C156;NA;NA;FVG;NA;NA;NA;1973;2012;NA;NA;NA;NA;NA;NA;1000.44580078125;12.9166;46.519
116;Chialina;C159;OD:C159;NA;NA;FVG;NA;NA;NA;1917;1987;NA;NA;NA;NA;NA;NA;544.41796875;12.871500000000001;46.47410000000001
117;Pe' di cleva centro sci nordico;C164;OD:C164;NA;NA;FVG;NA;NA;NA;2009;2012;NA;NA;NA;NA;NA;NA;1168.087646484375;12.746399999999998;46.5705
118;Esemon di sotto;C183;OD:C183;NA;NA;FVG;NA;NA;NA;2006;2012;NA;NA;NA;NA;NA;NA;406.49676513671875;12.9068;46.4112
119;Raveo;C184;OD:C184;NA;NA;FVG;NA;NA;NA;1988;1997;NA;NA;NA;NA;NA;NA;509.166259765625;12.870599999999998;46.433099999999996
120;Villa santina;C185;OD:C185;NA;NA;FVG;NA;NA;NA;1917;2008;NA;NA;NA;NA;NA;NA;436.5908508300781;12.9115;46.41819999999999
121;Passo di monte croce carnico;C200;OD:C200;NA;NA;FVG;NA;NA;NA;1932;1944;NA;NA;NA;NA;NA;NA;1380.3997802734375;12.945;46.6028
122;Timau;C201;OD:C201;NA;NA;FVG;NA;NA;NA;1919;2012;NA;NA;NA;NA;NA;NA;901.4686279296875;13.006799999999998;46.57639999999999
123;Cleulis;C202;OD:C202;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;863.5078125;13.005600000000001;46.5677
124;Paluzza;C203;OD:C203;NA;NA;FVG;NA;NA;NA;1917;2011;NA;NA;NA;NA;NA;NA;651.81640625;13.011799999999997;46.5281
125;Zovello;C204;OD:C204;NA;NA;FVG;NA;NA;NA;1917;1972;NA;NA;NA;NA;NA;NA;924.111083984375;12.9494;46.5308
126;Malga plotta;C206;OD:C206;NA;NA;FVG;NA;NA;NA;2007;2011;NA;NA;NA;NA;NA;NA;1989.8385009765625;12.8991;46.594199999999994
127;Malga pramosio;C207;OD:C207;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1558.2021484375;13.029600000000002;46.587500000000006
128;Casera zoufplan bassa;C208;OD:C208;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1488.5538330078125;12.983899999999998;46.55709999999999
129;Rifugio tamai;C211;OD:C211;NA;NA;FVG;NA;NA;NA;2011;2012;NA;NA;NA;NA;NA;NA;1666.99267578125;12.931499999999998;46.501499999999986
130;Paularo;C230;OD:C230;NA;NA;FVG;NA;NA;NA;1917;2012;NA;NA;NA;NA;NA;NA;702.52740478515625;13.120899999999999;46.52629999999999
131;Ponte lovea;C231;OD:C231;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1942;2012;712.83502197265625;13.075;46.473200000000006
132;Cedarchis;C232;OD:C232;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;413.8949279785156;13.035900000000002;46.4564
133;Cason di lanza;C235;OD:C235;NA;NA;FVG;NA;NA;NA;2008;2011;NA;NA;NA;NA;NA;NA;1630.9583740234375;13.168699999999998;46.56799999999999
134;Casera del mestri;C236;OD:C236;NA;NA;FVG;NA;NA;NA;2011;2011;NA;NA;NA;NA;NA;NA;1466.92236328125;13.1414;46.481199999999994
135;Avosacco;C260;OD:C260;NA;NA;FVG;NA;NA;NA;1917;1999;NA;NA;NA;NA;NA;NA;538.4617919921875;13.020600000000002;46.4793
136;Arta terme;C261;OD:C261;NA;NA;FVG;NA;NA;NA;1969;2012;NA;NA;NA;NA;NA;NA;501.6275634765625;13.025;46.4743
137;Terme di arta;C262;OD:C262;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003;2012;538.4617919921875;13.0183;46.4772
138;Tolmezzo;C263;OD:C263;NA;NA;FVG;NA;NA;NA;1917;2011;NA;NA;NA;NA;NA;NA;363.86981201171875;13.0225;46.4226
139;Tolmezzo ponte di caneva;C264;OD:C264;NA;NA;FVG;NA;NA;NA;2002;2006;NA;NA;NA;NA;NA;NA;345.44940185546875;13.0052;46.4098
140;Camporosso;C300;OD:C300;NA;NA;FVG;NA;NA;NA;1923;2011;NA;NA;NA;NA;NA;NA;889.34991455078125;13.523999999999997;46.508700000000005
141;Val ugovizza;C301;OD:C301;NA;NA;FVG;NA;NA;NA;2004;2012;NA;NA;NA;NA;NA;NA;1405.9122314453125;13.478399999999999;46.547999999999995
142;Ugovizza;C303;OD:C303;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004;2012;898.59100341796875;13.471699999999998;46.51039999999998
143;Malborghetto ponte per nebria;C304;OD:C304;NA;NA;FVG;NA;NA;NA;1921;2012;NA;NA;NA;NA;NA;NA;895.99737548828125;13.440000000000001;46.50610000000001
144;Malga acomizza;C307;OD:C307;NA;NA;FVG;NA;NA;NA;2007;2011;NA;NA;NA;NA;NA;NA;1621.739501953125;13.515200000000002;46.54809999999999
145;Pontebba ponte vecchio ss 13;C331;OD:C331;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001;2012;696.48260498046875;13.325599999999998;46.5092
146;Pontebba;C333;OD:C333;NA;NA;FVG;NA;NA;NA;1915;2012;NA;NA;NA;NA;NA;NA;713.9146728515625;13.307499999999996;46.50609999999999
147;Pontebba ponte per studena alta;C335;OD:C335;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004;2012;716.3634033203125;13.299999999999999;46.51049999999999
148;Strada per pramollo;C336;OD:C336;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;1103.3721923828125;13.3035;46.529900000000005
149;Passo pramollo valico;C338;OD:C338;NA;NA;FVG;NA;NA;NA;2009;2011;NA;NA;NA;NA;NA;NA;1527.90283203125;13.275;46.55970000000001
151;Chiout;C362;OD:C362;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;792.772216796875;13.371800000000002;46.452200000000005
152;Dogna;C400;OD:C400;NA;NA;FVG;NA;2005;2012;NA;NA;NA;NA;NA;NA;1929;2012;670.62054443359375;13.3126;46.44250000000001
153;Chiusaforte;C402;OD:C402;NA;NA;FVG;NA;NA;NA;1915;2005;NA;NA;NA;NA;NA;NA;529.56231689453125;13.313599999999997;46.40759999999999
154;Saletto di raccolana;C410;OD:C410;NA;NA;FVG;NA;NA;NA;1919;2011;NA;NA;NA;NA;NA;NA;654.51287841796875;13.375699999999998;46.4027
155;Raccolana;C411;OD:C411;NA;NA;FVG;NA;NA;NA;2002;2012;NA;NA;NA;NA;NA;NA;529.56231689453125;13.317500000000003;46.4046
156;Livinal lunc;C412;OD:C412;NA;NA;FVG;NA;NA;NA;2007;2011;NA;NA;NA;NA;NA;NA;1805.7515869140625;13.4722;46.3758
157;Coritis;C420;OD:C420;NA;NA;FVG;NA;NA;NA;1925;2012;NA;NA;NA;NA;NA;NA;712.24896240234375;13.3926;46.34799999999999
158;Stolvizza;C421;OD:C421;NA;NA;FVG;NA;NA;NA;1927;2012;NA;NA;NA;NA;NA;NA;584.2904052734375;13.351699999999997;46.363499999999995
159;Oseacco;C422;OD:C422;NA;NA;FVG;NA;NA;NA;1927;2000;1933;2000;NA;NA;NA;NA;524.105224609375;13.311500000000002;46.36280000000001
160;Resia prato;C423;OD:C423;NA;NA;FVG;NA;NA;NA;1920;2012;1967;2011;NA;NA;NA;NA;626.32586669921875;13.2957;46.375899999999994
161;Borgo povici;C425;OD:C425;NA;NA;FVG;NA;NA;NA;2002;2012;2001;2011;NA;NA;NA;NA;361.42498779296875;13.2215;46.3887
162;Bevorchians;C440;OD:C440;NA;NA;FVG;NA;NA;NA;2004;2012;2004;2011;NA;NA;NA;NA;767.47296142578125;13.1891;46.485899999999994
163;Grauzaria;C442;OD:C442;NA;NA;FVG;NA;NA;NA;1971;2011;NA;NA;NA;NA;NA;NA;607.89410400390625;13.1844;46.45109999999999
164;Pradis;C444;OD:C444;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005;2012;445.3192443847656;13.201300000000002;46.423
165;Bivacco bianchi;C445;OD:C445;NA;NA;FVG;NA;NA;NA;2010;2011;2010;2011;NA;NA;NA;NA;1352.853759765625;13.2487;46.456100000000006
166;Diga in alba;C462;OD:C462;NA;NA;FVG;NA;NA;NA;1939;1970;NA;NA;NA;NA;NA;NA;788.59490966796875;13.215799999999998;46.4344
167;Moggio udinese;C463;OD:C463;NA;NA;FVG;NA;NA;NA;1932;2005;1993;2005;NA;NA;NA;NA;383.713134765625;13.200299999999999;46.40879999999999
