SiteID;SiteName;SiteCode;FullSiteCode;Elevation;State;County;Comments;Elevation_dem;Longitude;Latitude;codice
266;Alnicco;G004;OD:G004;NA;NA;FVG;NA;169.36491394043;13.1658;46.1178;NA
267;Castellerio;G005;OD:G005;NA;NA;FVG;NA;153.6357421875;13.1875;46.1197;NA
268;Pagnacco;G006;OD:G006;NA;NA;FVG;NA;139.89485168457;13.1964;46.1141;NA
269;Moruzzo;G007;OD:G007;NA;NA;FVG;NA;206.844635009766;13.1269;46.1178;NA
270;Colugna;G008;OD:G008;NA;NA;FVG;NA;124.732391357422;13.1925;46.0927;NA
271;Rizzi;G009;OD:G009;NA;NA;FVG;NA;117.852828979492;13.1989;46.0879;NA
272;Udine castello;G010;OD:G010;NA;NA;FVG;Serie HisCentral +Regione FVG;114.832023620605;13.2367;46.0649;UDI
273;Pasian di prato;G011;OD:G011;NA;NA;FVG;NA;101.916564941406;13.1797;46.0523;NA
274;Tavagnacco;G012;OD:G012;NA;NA;FVG;NA;154.573257446289;13.2153;46.1266;NA
275;Basaldella di campoformido;G013;OD:G013;NA;NA;FVG;NA;85.4479751586914;13.2079;46.0281;NA
276;Pozzuolo del friuli;G050;OD:G050;NA;NA;FVG;NA;64.300407409668;13.195;45.9883;NA
277;Mortegliano;G051;OD:G051;NA;NA;FVG;NA;42.0660705566406;13.1797;45.9474;NA
278;Castions di strada;G052;OD:G052;NA;NA;FVG;Serie HisCentral +Regione FVG;20.1417102813721;13.1941;45.9052;TAL
279;Cormor paradiso;G053;OD:G053;NA;NA;FVG;NA;11.960711479187;13.1588;45.8797;NA
280;Sant'andrat del cormor;G054;OD:G054;NA;NA;FVG;NA;22.4362449645996;13.162;45.9144;NA
281;Zavattina;G100;OD:G100;NA;NA;FVG;NA;6.22021341323853;13.1599;45.8336;NA
282;Muzzana del turgnano ponte ss 14;G101;OD:G101;NA;NA;FVG;NA;3.73113441467285;13.1296;45.8184;NA
283;Ponte ss 252 km 13;G102;OD:G102;NA;NA;FVG;NA;26.2717437744141;13.1655;45.9267;NA
284;Ponte ss 252 km 14;G103;OD:G103;NA;NA;FVG;NA;26.3112487792969;13.1825;45.9223;NA
285;Tricesimo;G200;OD:G200;NA;NA;FVG;NA;175.997756958008;13.2139;46.1514;NA
286;Adegliacco;G201;OD:G201;NA;NA;FVG;NA;136.690414428711;13.2287;46.1153;NA
287;Feletto umberto;G202;OD:G202;NA;NA;FVG;NA;130.227951049805;13.2281;46.0999;NA
288;Zellina;H001;OD:H001;NA;NA;FVG;NA;5.65035438537598;13.1725;45.83;NA
289;Zellina ponte ferrovia;H002;OD:H002;NA;NA;FVG;NA;5.65035438537598;13.1739;45.8271;NA
290;Fauglis;J001;OD:J001;NA;NA;FVG;NA;17.4584445953369;13.2648;45.8888;NA
291;Chiarisacco;J002;OD:J002;NA;NA;FVG;NA;4.51044797897339;13.2172;45.8385;NA
292;San giorgio di nogaro;J003;OD:J003;NA;NA;FVG;NA;5.44280624389648;13.2097;45.839;NA
293;San giorgio di nogaro cimitero;J004;OD:J004;NA;NA;FVG;NA;4.7517523765564;13.2071;45.8355;NA
294;Planais;J005;OD:J005;NA;NA;FVG;NA;-0.07753685861826;13.2426;45.7729;NA
295;Sevegliano;J200;OD:J200;NA;NA;FVG;NA;16.5830783843994;13.2979;45.8865;NA
296;Torviscosa case savoiano;J201;OD:J201;NA;NA;FVG;NA;1.61876356601715;13.2451;45.8273;NA
297;Torviscosa molino;J202;OD:J202;NA;NA;FVG;NA;3.62787342071533;13.2805;45.8286;NA
298;Torviscosa ponte ferrovia;J203;OD:J203;NA;NA;FVG;NA;2.58790397644043;13.2903;45.826;NA
299;Tre ponti;J204;OD:J204;NA;NA;FVG;NA;0.11979803442955;13.3056;45.8268;NA
300;Muscoli;J205;OD:J205;NA;NA;FVG;NA;2.17899417877197;13.3322;45.8355;NA
301;Muscoli via san zenone;J206;OD:J206;NA;NA;FVG;NA;2.17899417877197;13.3405;45.8357;NA
302;Cervignano floricoltura vrech;J207;OD:J207;NA;NA;FVG;NA;3.42896604537964;13.3459;45.8239;NA
303;Castions delle mure casali fabbrica;J208;OD:J208;NA;NA;FVG;NA;1.49435091018677;13.312;45.8419;NA
304;Torviscosa;J209;OD:J209;NA;NA;FVG;NA;2.98702621459961;13.2754;45.8188;NA
305;Visco;J210;OD:J210;NA;NA;FVG;NA;20.4789943695068;13.3462;45.8927;NA
306;Belvat;J211;OD:J211;NA;NA;FVG;NA;-1.07546043395996;13.2951;45.802;NA
307;Cervignano;J212;OD:J212;NA;NA;FVG;Serie HisCentral +Regione FVG;3.27102828025818;13.3412;45.8163;CER
308;Risano case moschioni;J400;OD:J400;NA;NA;FVG;Serie HisCentral +Regione FVG;62.5455131530762;13.2514;45.9847;LAU
309;Gris cuccana;J401;OD:J401;NA;NA;FVG;NA;37.0993499755859;13.2343;45.9366;NA
310;Palmanova;J402;OD:J402;NA;NA;FVG;NA;26.880163192749;13.2997;45.9125;NA
311;Trivignano udinese;J403;OD:J403;NA;NA;FVG;NA;41.9059143066406;13.34;45.949;NA
312;Lauzacco;J404;OD:J404;NA;NA;FVG;NA;55.5414428710938;13.2827;45.9784;NA
313;Ialmicco sede protezione civile regionale;J405;OD:J405;NA;NA;FVG;NA;26.8802623748779;13.3331;45.9112;NA
314;Pavia di udine;J406;OD:J406;NA;NA;FVG;NA;63.5124282836914;13.2962;45.992;NA
315;Aquileia idrovora ca' padovano;K001;OD:K001;NA;NA;FVG;NA;-0.200788840651512;13.3534;45.7471;NA
316;Scodovacca;K002;OD:K002;NA;NA;FVG;NA;4.34251976013184;13.3703;45.8207;NA
317;Borgo modena;K003;OD:K003;NA;NA;FVG;NA;4.26596546173096;13.3811;45.8189;NA
318;Case polzin;K005;OD:K005;NA;NA;FVG;NA;0.875934958457947;13.3637;45.8076;NA
319;Malborghetto di cervignano;K006;OD:K006;NA;NA;FVG;NA;0;13.3652;45.8051;NA
320;Ca' viola;L001;OD:L001;NA;NA;FVG;NA;-1;13.4159;45.7422;NA
321;Val lovato;M001;OD:M001;NA;NA;FVG;NA;-0.237509414553642;13.0981;45.682;NA
322;Lignano sabbiadoro;M002;OD:M002;NA;NA;FVG;Serie HisCentral +Regione FVG;2.31620287895203;13.1212;45.6865;LIG
323;Val pantani;M004;OD:M004;NA;NA;FVG;NA;0;13.0755;45.692;NA
324;Fraida;M005;OD:M005;NA;NA;FVG;NA;-0.038476806133986;13.104;45.7371;NA
325;Lame di precenicco;M006;OD:M006;NA;NA;FVG;NA;0;13.0654;45.7148;NA
326;Marano lagunare colomba;M007;OD:M007;NA;NA;FVG;NA;0;13.1906;45.7754;NA
327;Ca' anfora;M050;OD:M050;NA;NA;FVG;NA;-2.78168129920959;13.3142;45.7601;NA
328;Grado sede g.i.t.;M051;OD:M051;NA;NA;FVG;Serie HisCentral +Regione FVG;0.421869248151779;13.3947;45.6765;GRD
329;Grado molo torpediniere;M053;OD:M053;NA;NA;FVG;NA;0.653648972511292;13.3835;45.6831;NA
330;Grado valle cavarera;M054;OD:M054;NA;NA;FVG;NA;0.663459897041321;13.4198;45.6861;NA
331;Uccea;N001;OD:N001;NA;NA;FVG;NA;769.232177734375;13.4004;46.3065;NA
332;Ponte piuma;N020;OD:N020;NA;NA;FVG;NA;75.5391082763672;13.6143;45.9562;NA
333;Gorizia teleferica ponte piuma;N021;OD:N021;NA;NA;FVG;NA;75.5391082763672;13.6156;45.957;NA
334;Gorizia presa c.b.p.i.;N022;OD:N022;NA;NA;FVG;NA;58.9251708984375;13.596;45.9341;NA
335;Mainizza;N023;OD:N023;NA;NA;FVG;NA;36.7882766723633;13.5589;45.9064;NA
336;Farra d'isonzo m. fortin;N024;OD:N024;NA;NA;FVG;NA;51.7179298400879;13.5344;45.9083;NA
337;Gradisca d'isonzo;N026;OD:N026;NA;NA;FVG;Serie HisCentral +Regione FVG;28.204963684082;13.4971;45.8845;GRA
338;Gradisca d'isonzo ponte pedonale;N027;OD:N027;NA;NA;FVG;NA;41.525821685791;13.5052;45.8857;NA
339;Gradisca d'isonzo casello idraulico;N028;OD:N028;NA;NA;FVG;NA;28.204963684082;13.5001;45.8827;NA
340;Sagrado ponte ss 305;N029;OD:N029;NA;NA;FVG;NA;23.5348930358887;13.485;45.8786;NA
341;Ruda cimitero;N030;OD:N030;NA;NA;FVG;NA;8.37320327758789;13.404;45.832;NA
342;Gorizia via san gabriele;N031;OD:N031;NA;NA;FVG;NA;92.2497253417969;13.6338;45.9529;NA
343;Turriaco;N040;OD:N040;NA;NA;FVG;NA;6.43859529495239;13.4301;45.8164;NA
344;Pieris ponte ss 14;N041;OD:N041;NA;NA;FVG;NA;5.44204044342041;13.4296;45.8055;NA
345;Fiumicello;N042;OD:N042;NA;NA;FVG;NA;0;13.4048;45.7661;NA
346;Isola morosini ex magazzino tabacco;N043;OD:N043;NA;NA;FVG;NA;0.398398250341415;13.4402;45.7672;NA
347;Isola morosini idrovora terranova;N044;OD:N044;NA;NA;FVG;NA;-0.651797890663147;13.4771;45.7527;NA
348;Fossalon bonifica vittoria;N045;OD:N045;NA;NA;FVG;Serie HisCentral +Regione FVG;-1;13.4966;45.7341;FOS
349;Villa vicentina via sant'antonio;N046;OD:N046;NA;NA;FVG;NA;4.83452701568604;13.4004;45.8101;NA
350;Musi localita' tanataviele;N100;OD:N100;NA;NA;FVG;NA;885.019165039063;13.272;46.3132;NA
351;Musi sorgenti torre;N101;OD:N101;NA;NA;FVG;NA;650.944030761719;13.2726;46.3072;NA
352;Vedronza;N103;OD:N103;NA;NA;FVG;NA;378.703460693359;13.2562;46.2618;NA
353;Ciseriis;N104;OD:N104;NA;NA;FVG;NA;268.622253417969;13.2294;46.2288;NA
354;Tarcento ponte per oltretorre;N105;OD:N105;NA;NA;FVG;NA;251.61457824707;13.2237;46.2169;NA
355;Gran monte rifugio alpini;N108;OD:N108;NA;NA;FVG;NA;1362.98645019531;13.3508;46.2905;NA
356;Qualso ponte di nimis;N150;OD:N150;NA;NA;FVG;NA;204.314376831055;13.2511;46.1891;NA
357;Zompitta presa c.b.l.t.;N151;OD:N151;NA;NA;FVG;NA;189.827239990234;13.2547;46.1714;NA
358;Zompitta borgo di sotto;N153;OD:N153;NA;NA;FVG;NA;170.509811401367;13.2573;46.1638;NA
359;Cerneglons ponte;N154;OD:N154;NA;NA;FVG;NA;87.3088836669922;13.3107;46.0427;NA
360;Viscone;N155;OD:N155;NA;NA;FVG;NA;33.0070037841797;13.3781;45.9246;NA
361;Tapogliano ex ponte ss 252;N156;OD:N156;NA;NA;FVG;NA;20.637659072876;13.4072;45.8927;NA
362;Villesse ponte ss 351;N157;OD:N157;NA;NA;FVG;NA;12.6205463409424;13.4199;45.8511;NA
363;Ponte sambo;N200;OD:N200;NA;NA;FVG;NA;509.475738525391;13.3293;46.267;NA
364;Cergneu superiore;N201;OD:N201;NA;NA;FVG;NA;376.140228271484;13.3134;46.2148;NA
365;Molmentet;N202;OD:N202;NA;NA;FVG;NA;193.343902587891;13.2664;46.1899;NA
366;Attimis borgo faris;N300;OD:N300;NA;NA;FVG;NA;220.558349609375;13.3179;46.1731;NA
367;Subit;N301;OD:N301;NA;NA;FVG;NA;753.021728515625;13.3515;46.2049;NA
368;Povoletto;N302;OD:N302;NA;NA;FVG;Serie HisCentral +Regione FVG;131.512878417969;13.309;46.1229;FAE
369;Canalutto;N303;OD:N303;NA;NA;FVG;NA;481.165008544922;13.4317;46.1573;NA
370;Togliano;N304;OD:N304;NA;NA;FVG;NA;157.202697753906;13.3902;46.121;NA
371;Faedis;N305;OD:N305;NA;NA;FVG;NA;195.832443237305;13.3485;46.1513;NA
