hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap
Codroipo ponte sp. 65;Codroipo;917.6412049183975;13;37;37.40613555908203;0.40613555908203125
Rivolto;Codroipo;1457.7465014278753;6;37;37.384830474853516;0.3848304748535156
Villa santina;Enemonzo;3865.3565351991174;12;438;436.5908508300781;1.409149169921875
Togliano;Faedis;3294.2311335340714;7;158;157.20269775390625;0.79730224609375
Ca' viola;Fossalon;4530.47302390229;8;0;-1;1
Grado valle cavarera;Fossalon;4410.247210108607;17;0;0.6634598970413208;0.6634598970413208
Isola morosini idrovora terranova;Fossalon;4453.316867238759;29;0;-0.651797890663147;0.651797890663147
Fossalon bonifica vittoria;Fossalon;3643.4859838698753;18;0;-1;1
Gemona canciane;Gemona del friuli;1196.532353964824;9;184;189.93775939941406;5.9377593994140625
Ponte di braulins sponda destra;Gemona del friuli;3240.3124604295704;25;184;195.4087677001953;11.408767700195312
Osoppo;Gemona del friuli;4805.804048082221;16;184;168.62107849121094;15.378921508789062
Artegna;Gemona del friuli;3945.754971453012;16;184;198.69320678710938;14.693206787109375
Magnano in riviera;Gemona del friuli;4763.988941466379;15;184;198.69320678710938;14.693206787109375
Latisana;Gorgo;4510.097312404747;8;5;5.5133056640625;0.5133056640625
Latisana scala;Gorgo;4537.781426109664;14;5;5.5133056640625;0.5133056640625
Lame di precenicco;Gorgo;4142.999502063619;16;5;0;5
